	
         182	    	17:17:34	958.245	         29.957		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         183	    	17:17:34	988.263	         30.018		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         184	    	17:17:35	018.238	         29.975		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         185	    	17:17:35	048.222	         29.984		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         186	    	17:17:35	078.314	         30.092		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         187	    	17:17:35	108.329	         30.015		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         188	    	17:17:35	138.306	         29.977		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         189	    	17:17:35	168.232	         29.926		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         190	    	17:17:35	198.316	         30.084		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         191	    	17:17:35	228.258	         29.942		       399	       18F	      	  4	00	00	C0	36	  	  	  	  	__¿6    	
         192	    	17:17:35	258.223	         29.965		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         193	    	17:17:35	288.325	         30.102		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         194	    	17:17:35	318.306	         29.981		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         195	    	17:17:35	348.262	         29.956		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         196	    	17:17:35	378.254	         29.992		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         197	    	17:17:35	408.235	         29.981		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         198	    	17:17:35	438.241	         30.006		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         199	    	17:17:35	468.240	         29.999		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         200	    	17:17:35	498.244	         30.004		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         201	    	17:17:35	528.340	         30.096		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         202	    	17:17:35	558.307	         29.967		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         203	    	17:17:35	588.307	         30.000		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         204	    	17:17:35	618.264	         29.957		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         205	    	17:17:35	648.310	         30.046		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         206	    	17:17:35	678.306	         29.996		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         207	    	17:17:35	708.263	         29.957		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         208	    	17:17:35	739.345	         31.082		       399	       18F	      	  4	00	00	C0	36	  	  	  	  	__¿6    	
         209	    	17:17:35	769.348	         30.003		       399	       18F	      	  4	00	00	C0	36	  	  	  	  	__¿6    	
         210	    	17:17:35	799.332	         29.984		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         211	    	17:17:35	829.273	         29.941		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         212	    	17:17:35	859.237	         29.964		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         213	    	17:17:35	889.331	         30.094		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         214	    	17:17:35	919.307	         29.976		       399	       18F	      	  4	00	00	90	36	  	  	  	  	__ê6    	
         215	    	17:17:35	949.260	         29.953		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         216	    	17:17:35	979.241	         29.981		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         217	    	17:17:36	009.325	         30.084		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         218	    	17:17:36	039.307	         29.982		       399	       18F	      	  4	00	00	C0	36	  	  	  	  	__¿6    	
         219	    	17:17:36	070.234	         30.927		       399	       18F	      	  4	00	00	C0	36	  	  	  	  	__¿6    	
         220	    	17:17:36	100.344	         30.110		       399	       18F	      	  4	00	00	C0	36	  	  	  	  	__¿6    	
         221	    	17:17:36	130.235	         29.891		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         222	    	17:17:36	160.329	         30.094		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         223	    	17:17:36	190.321	         29.992		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         224	    	17:17:36	220.316	         29.995		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         225	    	17:17:36	250.307	         29.991		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         226	    	17:17:36	280.275	         29.968		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         227	    	17:17:36	310.251	         29.976		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         228	    	17:17:36	340.355	         30.104		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         229	    	17:17:36	370.328	         29.973		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         230	    	17:17:36	400.320	         29.992		       399	       18F	      	  4	00	00	C0	36	  	  	  	  	__¿6    	
         231	    	17:17:36	430.277	         29.957		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         232	    	17:17:36	460.269	         29.992		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         233	    	17:17:36	490.268	         29.999		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         234	    	17:17:36	520.234	         29.966		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         235	    	17:17:36	550.336	         30.102		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         236	    	17:17:36	580.345	         30.009		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         237	    	17:17:36	610.325	         29.980		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         238	    	17:17:36	640.310	         29.985		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         239	    	17:17:36	670.308	         29.998		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         240	    	17:17:36	700.264	         29.956		       399	       18F	      	  4	00	00	C0	36	  	  	  	  	__¿6    	
         241	    	17:17:36	730.251	         29.987		       399	       18F	      	  4	00	00	90	36	  	  	  	  	__ê6    	
         242	    	17:17:36	760.331	         30.080		       399	       18F	      	  4	00	00	90	36	  	  	  	  	__ê6    	
         243	    	17:17:36	790.318	         29.987		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         244	    	17:17:36	820.314	         29.996		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         245	    	17:17:36	850.280	         29.966		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         246	    	17:17:36	880.267	         29.987		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         247	    	17:17:36	910.357	         30.090		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         248	    	17:17:36	940.328	         29.971		       399	       18F	      	  4	00	00	C0	36	  	  	  	  	__¿6    	
         249	    	17:17:36	970.278	         29.950		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         250	    	17:17:37	000.248	         29.970		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         251	    	17:17:37	030.243	         29.995		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         252	    	17:17:37	060.319	         30.076		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         253	    	17:17:37	090.266	         29.947		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         254	    	17:17:37	120.250	         29.984		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         255	    	17:17:37	150.240	         29.990		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         256	    	17:17:37	180.321	         30.081		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         257	    	17:17:37	210.269	         29.948		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         258	    	17:17:37	240.268	         29.999		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         259	    	17:17:37	270.270	         30.002		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         260	    	17:17:37	300.257	         29.987		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         261	    	17:17:37	330.361	         30.104		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         262	    	17:17:37	360.329	         29.968		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         263	    	17:17:37	390.284	         29.955		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         264	    	17:17:37	420.250	         29.966		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         265	    	17:17:37	450.351	         30.101		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         266	    	17:17:37	480.327	         29.976		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         267	    	17:17:37	510.265	         29.938		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         268	    	17:17:37	540.252	         29.987		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         269	    	17:17:37	570.352	         30.100		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         270	    	17:17:37	600.349	         29.997		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         271	    	17:17:37	630.335	         29.986		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
[B1] Stats timestamp:         	  17:17:37.381.434	 24.05.2023
