[--] ----------------------------------------------
[--] CANreal Save Frames Header (created)
[--] ----------------------------------------------
[F1] Source:                  	C:\Users\Sergiu\Desktop\aaa.csplog
[F2] Split file series:       	aaa.csplog
[F3] File serial number:      	n/a
[F4] Id-Description file:     	<none>
[F5] Header type:             	0
[F6] Header length:           	2093
[F7] File date:               	24.05.2023
[F8] File time:               	15:41:40
[S1] Hardware:                	1000
[S2] Driver:                  	2700
[S3] Firmware:                	1100
[S5] dll:                     	5006
[S6] Board:                   	CAN_USB2
[S7] status:                  	00000000
[S8] OS:                      	Windows 8/10  (6,2,9200,2,[])
[SE] Application:             	CANreal
[S9] App version:             	8.71
[SA] Features:                	0972 (2b Ts Lo St)
[SB] HW Time stamps:          	resolution 1.000 MHz <> 1000.000 nsec (OK)
[SC] Controller:              	LPC
[SD] Board serial:            	HN007737
[C1] Net number:              	0
[C2] Bitrate:                 	500.0
[C3] 29-bit-Ids:              	1 - enabled
[T0] Start trigger:           	none
[T1] End   trigger:           	none
[C4] Id-Area:                 	0000-2047 ($000-$7FF)
[--] ----------------------------------------------
[--] Frame_Number	Trigger	Absolute_Time	Msec	Relative_Time	Desc	CAN_Id_dec	CAN_Id_hex	Attributes	Length	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
[--]     Num	Trig	     Abs	Msec	            Rel	Desc	     IdDec	     IdHex	Attr	Len	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
         118	    	15:41:26	355.011	         29.947		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
         119	    	15:41:26	385.099	         30.088		       399	       18F	      	  4	50	02	90	36	  	  	  	  	P_ê6    	
         120	    	15:41:26	415.012	         29.913		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
         121	    	15:41:26	445.070	         30.058		       399	       18F	      	  4	50	02	C0	36	  	  	  	  	P_¿6    	
         122	    	15:41:26	475.034	         29.964		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
         123	    	15:41:26	505.113	         30.079		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
         124	    	15:41:26	535.063	         29.950		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
         125	    	15:41:26	565.070	         30.007		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
         126	    	15:41:26	595.022	         29.952		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
         127	    	15:41:26	625.010	         29.988		       399	       18F	      	  4	50	02	C0	36	  	  	  	  	P_¿6    	
         128	    	15:41:26	655.085	         30.075		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
         129	    	15:41:26	685.065	         29.980		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
         130	    	15:41:26	715.013	         29.948		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
         131	    	15:41:26	745.098	         30.085		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
         132	    	15:41:26	775.090	         29.992		       399	       18F	      	  4	50	02	90	36	  	  	  	  	P_ê6    	
         133	    	15:41:26	805.031	         29.941		       399	       18F	      	  4	50	02	90	36	  	  	  	  	P_ê6    	
         134	    	15:41:26	835.009	         29.978		       399	       18F	      	  4	50	02	90	36	  	  	  	  	P_ê6    	
         135	    	15:41:26	865.113	         30.104		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
         136	    	15:41:26	895.026	         29.913		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
         137	    	15:41:26	925.118	         30.092		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
         138	    	15:41:26	955.089	         29.971		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
         139	    	15:41:26	985.047	         29.958		       399	       18F	      	  4	50	02	90	36	  	  	  	  	P_ê6    	
         140	    	15:41:27	015.011	         29.964		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
         141	    	15:41:27	045.113	         30.102		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
