Start Time  Tuesday March 01 2022 16:51:41,,,,,,,
USB-to-CAN V2 compact  CAN-1,109,95.043,      ,585,8,60 00 16 00 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,110,95.054,      ,605,8,23 00 16 01 10 00 40 60,#.....@`
USB-to-CAN V2 compact  CAN-1,111,95.055,      ,585,8,60 00 16 01 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,112,95.065,      ,605,8,2F 00 16 00 01 00 00 00,/.......
USB-to-CAN V2 compact  CAN-1,113,95.066,      ,585,8,60 00 16 00 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,114,95.076,      ,605,8,23 00 14 01 05 02 00 00,#.......
USB-to-CAN V2 compact  CAN-1,115,95.077,      ,585,8,60 00 14 01 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,116,95.087,      ,605,8,23 01 14 01 05 03 00 80,#.......
USB-to-CAN V2 compact  CAN-1,117,95.088,      ,585,8,60 01 14 01 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,118,95.098,      ,605,8,2F 01 16 00 00 00 00 00,/.......
USB-to-CAN V2 compact  CAN-1,119,95.099,      ,585,8,60 01 16 00 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,120,95.109,      ,605,8,23 01 16 01 20 00 7A 60,#... .z`
USB-to-CAN V2 compact  CAN-1,121,95.11,      ,585,8,60 01 16 01 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,122,95.123,      ,605,8,23 01 16 02 20 00 81 60,#... ..`
USB-to-CAN V2 compact  CAN-1,123,95.123,      ,585,8,60 01 16 02 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,124,95.131,      ,605,8,2F 01 16 00 02 00 00 00,/.......
USB-to-CAN V2 compact  CAN-1,125,95.132,      ,585,8,60 01 16 00 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,126,95.143,      ,605,8,23 01 14 01 05 03 00 00,#.......
USB-to-CAN V2 compact  CAN-1,127,95.143,      ,585,8,60 01 14 01 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,128,95.153,      ,605,8,23 02 14 01 05 04 00 80,#.......
USB-to-CAN V2 compact  CAN-1,129,95.154,      ,585,8,60 02 14 01 00 00 00 00,`.......
